Date : 2024-12-19 18:58:49
Directory : d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student
Total : 106 files,  18984 codes, 248 comments, 392 blanks, all 19624 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\size.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\skill.svg                          | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\social-github.svg                  | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\star.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\tab.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\table.svg                          | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\theme.svg                          | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\tree-table.svg                     | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\tree.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\user.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\users.svg                          | XML        |          6 |          0 |          0 |          6 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\wechat.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\zip.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svgo.yml                               | YAML       |          5 |         13 |          5 |         23 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\layout\index.vue                             | Vue        |        120 |          0 |          4 |        124 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\main.js                                      | JavaScript |         42 |          3 |         11 |         56 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\router.js                                    | JavaScript |        101 |          0 |          3 |        104 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\store\index.js                               | JavaScript |         14 |          4 |          6 |         24 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\store\modules\enumItem.js                    | JavaScript |         52 |          4 |          6 |         62 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\store\modules\exam.js                        | JavaScript |         33 |          2 |          6 |         41 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\store\modules\user.js                        | JavaScript |         51 |          3 |          4 |         58 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\styles\index.scss                            | SCSS       |        285 |          0 |         77 |        362 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\utils\index.js                               | JavaScript |        251 |         98 |         26 |        375 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\utils\request.js                             | JavaScript |        101 |          0 |          8 |        109 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\utils\scroll-to.js                           | JavaScript |         39 |         15 |          5 |         59 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\utils\validate.js                            | JavaScript |         39 |         41 |         10 |         90 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\dashboard\index.vue                    | Vue        |        162 |         25 |         12 |        199 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\error-page\401.vue                     | Vue        |         96 |          0 |          4 |        100 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\error-page\404.vue                     | Vue        |        222 |          0 |          4 |        226 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\exam\components\QuestionAnswerShow.vue | Vue        |        125 |          0 |          3 |        128 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\exam\components\QuestionEdit.vue       | Vue        |         81 |          0 |          3 |         84 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\exam\paper\do.vue                      | Vue        |        195 |          4 |          7 |        206 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\exam\paper\edit.vue                    | Vue        |        150 |          0 |          5 |        155 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\exam\paper\read.vue                    | Vue        |        107 |          0 |          5 |        112 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\face-recognition\index.vue             | Vue        |         69 |          8 |          8 |         85 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\login\index.vue                        | Vue        |        377 |          5 |         37 |        419 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\paper\index.vue                        | Vue        |         87 |          0 |          4 |         91 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\question-error\index.vue               | Vue        |         95 |          0 |          5 |        100 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\record\index.vue                       | Vue        |        122 |          0 |          4 |        126 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\register\index.vue                     | Vue        |        324 |          2 |         36 |        362 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\user-info\index.vue                    | Vue        |        170 |          0 |          5 |        175 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\views\user-info\message.vue                  | Vue        |         92 |          0 |          6 |         98 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\vue.config.js                                    | JavaScript |         49 |          1 |          3 |         53 |
| Total                                                                                                                                 |            |     18,984 |        248 |        392 |     19,624 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
