Date : 2024-12-19 18:57:09
Directory : d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin
Total : 241 files,  276020 codes, 109118 comments, 54295 blanks, all 439433 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\ueditor.config.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\ueditor.parse.min.js                                             | JavaScript |          1 |          5 |          1 |          7 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\index.html                                                                                | HTML       |         48 |          1 |          5 |         54 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\App.vue                                                                                      | Vue        |         10 |          0 |          2 |         12 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\composePaper.js                                                                          | JavaScript |          5 |          0 |          2 |          7 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\dashboard.js                                                                             | JavaScript |          4 |          0 |          2 |          6 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\examPaper.js                                                                             | JavaScript |          9 |          0 |          2 |         11 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\examPaperAnwser.js                                                                       | JavaScript |         12 |          5 |          7 |         24 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\face.js                                                                                  | JavaScript |          4 |          0 |          2 |          6 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\knowledge.js                                                                             | JavaScript |          0 |          0 |          1 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\login.js                                                                                 | JavaScript |          5 |          0 |          2 |          7 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\message.js                                                                               | JavaScript |          5 |          0 |          2 |          7 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\question.js                                                                              | JavaScript |          7 |          0 |          2 |          9 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\subject.js                                                                               | JavaScript |          8 |          0 |          2 |         10 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\task.js                                                                                  | JavaScript |          7 |          0 |          2 |          9 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\api\user.js                                                                                  | JavaScript |         12 |          0 |          2 |         14 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\assets\custom-theme\index.css                                                                | CSS        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\components\BackToTop\index.vue                                                               | Vue        |        119 |          4 |          7 |        130 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\components\Breadcrumb\index.vue                                                              | Vue        |         73 |          3 |          6 |         82 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\components\Hamburger\index.vue                                                               | Vue        |         41 |          0 |          4 |         45 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\components\Pagination\index.vue                                                              | Vue        |         97 |          0 |          4 |        101 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\components\PanThumb\index.vue                                                                | Vue        |        128 |          0 |         13 |        141 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\components\SvgIcon\index.vue                                                                 | Vue        |         57 |          1 |          5 |         63 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\components\ThemePicker\index.vue                                                             | Vue        |        150 |          0 |         26 |        176 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\components\Ueditor\index.vue                                                                 | Vue        |         58 |          4 |          4 |         66 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\index.js                                                                               | JavaScript |          6 |          1 |          3 |         10 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\404.svg                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\answer.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\bug.svg                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\chart.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\clipboard.svg                                                                      | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\component.svg                                                                      | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\dashboard.svg                                                                      | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\documentation.svg                                                                  | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\doexampaper.svg                                                                    | XML        |          8 |          0 |          0 |          8 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\doquestion.svg                                                                     | XML        |          5 |          0 |          0 |          5 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\drag.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\edit.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\education.svg                                                                      | XML        |         13 |          0 |          0 |         13 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\email.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\exam.svg                                                                           | XML        |         10 |          0 |          1 |         11 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\example.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\excel.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\exit-fullscreen.svg                                                                | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\eye-open.svg                                                                       | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\eye.svg                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\form.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\fullscreen.svg                                                                     | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\guide.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\home.svg                                                                           | XML        |         11 |          0 |          1 |         12 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\icon.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\international.svg                                                                  | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\language.svg                                                                       | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\link.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\list.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\lock.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\log.svg                                                                            | XML        |         11 |          0 |          1 |         12 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\message.svg                                                                        | XML        |         13 |          0 |          0 |         13 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\money.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\nested.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\password.svg                                                                       | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\pdf.svg                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\people.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\peoples.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\qq.svg                                                                             | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\question.svg                                                                       | XML        |          7 |          0 |          0 |          7 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\search.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\shopping.svg                                                                       | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\size.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\skill.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\star.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\tab.svg                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\table.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\task.svg                                                                           | XML        |         15 |          0 |          0 |         15 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\theme.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\tree-table.svg                                                                     | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\tree.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\user.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\users.svg                                                                          | XML        |         12 |          0 |          1 |         13 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\wechat.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svg\zip.svg                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\icons\svgo.yml                                                                               | YAML       |          5 |         13 |          5 |         23 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\components\AppMain.vue                                                                | Vue        |         48 |          3 |          7 |         58 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\components\Navbar.vue                                                                 | Vue        |        127 |          0 |         19 |        146 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\components\Sidebar\FixiOSBug.js                                                       | JavaScript |         24 |          2 |          1 |         27 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\components\Sidebar\Item.vue                                                           | Vue        |         27 |          0 |          3 |         30 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\components\Sidebar\Link.vue                                                           | Vue        |         32 |          1 |          4 |         37 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\components\Sidebar\Logo.vue                                                           | Vue        |         72 |          0 |          9 |         81 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\components\Sidebar\SidebarItem.vue                                                    | Vue        |         83 |          6 |          7 |         96 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\components\Sidebar\index.vue                                                          | Vue        |         48 |          1 |          3 |         52 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\components\TagsView\ScrollPane.vue                                                    | Vue        |         56 |          4 |          9 |         69 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\components\TagsView\index.vue                                                         | Vue        |        277 |          6 |          7 |        290 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\components\index.js                                                                   | JavaScript |          4 |          0 |          1 |          5 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\index.vue                                                                             | Vue        |         90 |          0 |         10 |        100 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\layout\mixin\ResizeHandler.js                                                                | JavaScript |         40 |          2 |          4 |         46 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\main.js                                                                                      | JavaScript |         38 |          3 |         11 |         52 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\router.js                                                                                    | JavaScript |        294 |          2 |          5 |        301 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\store\getters.js                                                                             | JavaScript |          9 |          0 |          1 |         10 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\store\index.js                                                                               | JavaScript |         16 |          4 |          6 |         26 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\store\modules\app.js                                                                         | JavaScript |         52 |          0 |          5 |         57 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\store\modules\enumItem.js                                                                    | JavaScript |         50 |          4 |          6 |         60 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\store\modules\exam.js                                                                        | JavaScript |         36 |          2 |          6 |         44 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\store\modules\router.js                                                                      | JavaScript |         17 |          0 |          5 |         22 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\store\modules\tagsView.js                                                                    | JavaScript |        166 |          1 |         10 |        177 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\store\modules\user.js                                                                        | JavaScript |         33 |          3 |          4 |         40 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\styles\btn.scss                                                                              | SCSS       |         83 |          0 |         17 |        100 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\styles\element-ui.scss                                                                       | SCSS       |         61 |          5 |         14 |         80 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\styles\element-variables.scss                                                                | SCSS       |         13 |         10 |          9 |         32 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\styles\index.scss                                                                            | SCSS       |        259 |          2 |         63 |        324 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\styles\mixin.scss                                                                            | SCSS       |         56 |          0 |         11 |         67 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\styles\sidebar.scss                                                                          | SCSS       |        166 |          6 |         38 |        210 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\styles\transition.scss                                                                       | SCSS       |         35 |          4 |         10 |         49 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\styles\variables.scss                                                                        | SCSS       |         26 |          4 |          6 |         36 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\utils\index.js                                                                               | JavaScript |        251 |         98 |         26 |        375 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\utils\request.js                                                                             | JavaScript |        106 |          0 |          8 |        114 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\utils\scroll-to.js                                                                           | JavaScript |         39 |         15 |          5 |         59 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\utils\validate.js                                                                            | JavaScript |         39 |         41 |         10 |         90 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\answer\list.vue                                                                        | Vue        |        202 |         19 |          9 |        230 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\components\QuestionAnswerShow.vue                                                      | Vue        |        125 |          0 |          3 |        128 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\components\QuestionEdit.vue                                                            | Vue        |         81 |          0 |          3 |         84 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\dashboard\components\mixins\resize.js                                                  | JavaScript |         54 |          4 |          2 |         60 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\dashboard\index.vue                                                                    | Vue        |        265 |          2 |         31 |        298 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\education\subject\edit.vue                                                             | Vue        |         86 |          0 |          4 |         90 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\education\subject\list.vue                                                             | Vue        |         90 |          0 |          4 |         94 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\error-page\401.vue                                                                     | Vue        |         96 |          0 |          4 |        100 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\error-page\404.vue                                                                     | Vue        |        222 |          0 |          4 |        226 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\exam\composePaper\edit.vue                                                             | Vue        |        130 |         18 |          6 |        154 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\exam\paper\edit.vue                                                                    | Vue        |        310 |          8 |          5 |        323 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\exam\paper\list.vue                                                                    | Vue        |        109 |          0 |          3 |        112 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\exam\question\components\Show.vue                                                      | Vue        |         60 |          0 |          3 |         63 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\exam\question\edit\gap-filling.vue                                                     | Vue        |        235 |          1 |          5 |        241 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\exam\question\edit\multiple-choice.vue                                                 | Vue        |        234 |          1 |          3 |        238 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\exam\question\edit\short-answer.vue                                                    | Vue        |        198 |          1 |          3 |        202 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\exam\question\edit\single-choice.vue                                                   | Vue        |        232 |          1 |          3 |        236 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\exam\question\edit\true-false.vue                                                      | Vue        |        212 |          1 |          3 |        216 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\exam\question\list.vue                                                                 | Vue        |        158 |          0 |          4 |        162 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\log\list.vue                                                                           | Vue        |         67 |          0 |          4 |         71 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\login\index.vue                                                                        | Vue        |        252 |          6 |         28 |        286 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\message\list.vue                                                                       | Vue        |         62 |          0 |          5 |         67 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\message\send.vue                                                                       | Vue        |        101 |          0 |          4 |        105 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\paper\edit.vue                                                                         | Vue        |        150 |          0 |          1 |        151 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\paper\read.vue                                                                         | Vue        |        107 |          0 |          5 |        112 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\profile\components\Account.vue                                                         | Vue        |         41 |          0 |          2 |         43 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\profile\components\Timeline.vue                                                        | Vue        |         34 |          0 |          3 |         37 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\profile\components\UserCard.vue                                                        | Vue        |        100 |          0 |         18 |        118 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\profile\index.vue                                                                      | Vue        |         51 |          0 |          6 |         57 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\redirect\index.vue                                                                     | Vue        |         12 |          0 |          1 |         13 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\task\edit.vue                                                                          | Vue        |        199 |          0 |          6 |        205 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\task\list.vue                                                                          | Vue        |         88 |          0 |          4 |         92 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\user\admin\edit.vue                                                                    | Vue        |        133 |          0 |          4 |        137 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\user\admin\list.vue                                                                    | Vue        |        128 |          0 |          4 |        132 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\user\faceImport\edit.vue                                                               | Vue        |          0 |          0 |          1 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\user\faceImport\list.vue                                                               | Vue        |         70 |         32 |          4 |        106 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\user\student\edit.vue                                                                  | Vue        |        152 |          0 |          4 |        156 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\src\views\user\student\list.vue                                                                  | Vue        |        167 |          0 |          4 |        171 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\vue.config.js                                                                                    | JavaScript |         49 |          1 |          3 |         53 |
